Country Name,CO2_emissions,health_spending,GNI,DPT_vax,Measles_vax,HIV_incidence,TB_incidence,life_expectancy,cell_subs,safe_water_pct,safe_sanitation_pct,poverty_rate
Paraguay,1.164982151,863.2098999,12170.0,91.0,92.0,0.23,43.0,73.992,108.7550409,63.75322402,58.12856063,0.9
Peru,1.7170044080000002,698.1608887,11930.0,83.0,83.0,0.23,119.0,76.286,123.75975449999999,50.43955682,45.39758923,3.4
Philippines,1.298718327,370.81732180000006,9020.0,72.0,73.0,0.22,554.0,70.952,114.0711091,46.777393599999996,57.095643200000005,4.530555555555556
Poland,8.237562431,1978.638062,28820.0,96.0,94.0,0.9936923076923078,17.0,77.75365854,132.9502666,97.15775102,90.15793759,0.3
Portugal,5.177519101000001,3084.172852,32270.0,98.0,98.0,0.18,20.0,81.42439024,114.34198500000001,95.36320932,82.78225037,0.4
Puerto Rico,4.140249228967392,1449.1322523124295,22940.0,87.67213114754098,87.0327868852459,0.9936923076923078,1.4,79.63453659,107.1352326,99.44614594,32.50916088,4.530555555555556
Qatar,32.17937063,3391.368408,91500.0,97.0,99.0,0.06,25.0,79.98100000000001,146.3838592,96.18278647,97.2,4.530555555555556
Romania,3.7827902439999996,1367.820801,26760.0,82.0,86.0,0.08,72.0,75.3097561,113.9718904,81.91580853,77.35901664,3.1
Russian Federation,10.77664459,1389.354126,25230.0,97.0,98.0,0.9936923076923078,59.0,72.45146341,156.187408,75.82369995,60.19327141,0.0
Rwanda,0.08763905400000001,144.00389099999998,1910.0,98.0,97.0,0.73,58.0,68.34100000000001,73.61026382,11.08864455,57.94876916857851,4.530555555555556
Samoa,1.535642257,361.7209168,6270.0,74.0,58.0,0.9936923076923078,18.0,73.046,63.58317294,46.18010707,47.74011009,4.530555555555556
Sao Tome and Principe,0.627758516,213.723053,3940.0,95.0,90.0,0.9936923076923078,117.0,69.933,84.00397897,35.10298649,31.29180774,35.6
Saudi Arabia,16.33476362,3760.2844240000004,48040.0,98.0,96.0,0.07,10.0,74.874,121.4789509,72.09441406816394,55.45596235,4.530555555555556
Senegal,0.620648569,143.3164063,3110.0,93.0,90.0,0.12,120.0,67.38,102.1986069,72.09441406816394,22.35530807,4.530555555555556
Serbia,6.680095225,1348.9592289999998,15540.0,95.0,86.0,0.05,19.0,75.53902439,123.14275459999999,74.94687277,18.28920415,5.4
Seychelles,6.155900796,1441.359375,25220.0,97.0,99.0,0.9936923076923078,19.0,74.3,173.49665,72.09441406816394,57.94876916857851,4.530555555555556
